xHandle,displayName,tier,cluster,composite_z,totalXeetsExclXeetsgiving,competitiveTournamentCount,avgDifficultyAdjustedPercentile,signalRatioAvg,cryptoCreatorXeets,multiplierBreadth,osFloorCommon,ethSaleVolume,highestSaleCommon,priceTrajectory,saleVelocity30d,ownCardsHeld,deckReachScore,followers
Truunik,Truu🐻‍❄️,Epic,0,-0.2295791497609694,1102.872992,4,0.9141917063519563,0.5768871357226578,631.016693,0,0.0015,0.0591,0.0015,-0.0007504809965618973,10,2,69.8,11223.0
moneyfet1sh,moneyfet1sh,Epic,0,-0.87848968415258,845.113277,3,0.791091036998433,0.4653447698859361,755.471398,0,0.00199,0.047422,0.0018,-0.0008717208764515168,15,1,19.4,5866.0
SHGFees,Superhighgasfees ❤️,Epic,0,-0.9115876222886827,368.401517,2,0.8115607273603731,0.46348955036939865,316.774885,0,0.007,0.055978999999989995,0.008,0.005567306987946915,8,1,0.3,13118.0
CuzmanovS,Sasha Cuzmanov,Epic,0,-0.5450696004599935,1256.0633799999998,9,0.8255575426330961,0.32069172393377227,,2,0.001,0.047571009999990005,0.0024,4.853366159970244e-05,11,1,0.3,1471.0
greenknight_sol,GreenKnight (DKS),Epic,0,0.05947216040117656,1443.900603,3,0.9402141579616998,0.7531571916091967,399.767891,1,0.0043999999,0.03739899999999,0.00139999999999,-0.0006154980702914654,10,1,6.4,3421.0
stake_mm,stake_m,Epic,0,-0.6766709544809029,497.945267,2,0.85337807273561,0.5256788086531867,441.30145,0,0.001787,0.10216900000000001,0.0015,-0.012431716301788931,8,1,5.6,19592.0
Smolpeach33,Smolnaut,Epic,0,-0.6632796846475291,1032.9025589999999,4,0.8354360055390905,0.4567384200879768,623.612814,1,0.0024,0.09310889999996001,0.00199999999996,-0.000722624799356298,23,8,66.2,5271.0
Cryptowithkhan,Crypto with Khan ( SFZ ),Mythic,2,1.2978043948326823,8950.941226,18,0.9138817291027989,0.6143103937607297,1724.777521,1,0.0088,0.47913900000000004,0.0055,-0.00807679330152676,4,4,93.6,77892.0
josephweb3,Joseph,Epic,0,0.18561808246014758,1243.571367,2,0.941676618608882,0.8998163785605029,1118.082852,0,0.0009,0.06286799998999999,0.002,-0.000782459691073082,16,3,42.2,8742.0
Carl_m101,Carl,Epic,0,-0.003497692782651274,731.5862669999999,1,0.9286487089398249,0.8680033552416038,731.438236,0,0.0065,0.030489900000000004,0.002,0.0006402002365945029,7,5,15.6,25602.0
Wezaverse,Adam Westerén,Epic,0,0.057025102748739676,1447.9557180000002,3,0.8743524535507393,0.9132673399826028,1348.542944,0,0.0015,0.06419000000000001,0.0015,0.004786711295253984,15,1,25.8,10122.0
